ID,Tweet,Affect Dimension,Intensity Class,Intensity,Clean_Tweet_Cased,Clean_Tweet
2017-En-21065,@Burnt_Out_Darth @theaterofscifi thanks. ,fear,0: no fear can be inferred,0,thanks.,thanks.
2017-En-21379,@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel1 to give me my keys back. They aren't for my house! ,fear,0: no fear can be inferred,0,to give me my keys back. They aren't for my house!,to give me my keys back. they aren't for my house!
2017-En-22046,I've said it before and I'll say it again: It's God! All God! Only God!  #archippusawakening #entirelybyhisgrace,fear,0: no fear can be inferred,0,I've said it before and I'll say it again It's God! All God! Only God! archippusawakening entirelybyhisgrace,i've said it before and i'll say it again it's god! all god! only god! archippusawakening entirelybyhisgrace
2017-En-20872,Are there any #horror sites that would be interested in my writing a guest article/review? Been really craving a literary outlet lately.,fear,0: no fear can be inferred,0,Are there any horror sites that would be interested in my writing a guest article/review? Been really craving a literary outlet lately.,are there any horror sites that would be interested in my writing a guest article/review? been really craving a literary outlet lately.
2017-En-22060,but throughout that entire thing I was shaking rlly bad and my heart was racing and I was almost in tears lmao (thanks mr.*****),fear,3: high amount of fear can be inferred,3,but throughout that entire thing I was shaking rlly bad and my heart was racing and I was almost in tears lmao (thanks mr.*****),but throughout that entire thing i was shaking rlly bad and my heart was racing and i was almost in tears lmao (thanks mr.*****)
2017-En-21930,I have a fear of failure but no urge to be productive,fear,1: low amount of fear can be inferred,1,I have a fear of failure but no urge to be productive,i have a fear of failure but no urge to be productive
2017-En-20706,Hennessey - dreadful. Mutch - is he even on the pitch? Fryers - out of his depth unfortunately. #CPFC,fear,0: no fear can be inferred,0,Hennessey - dreadful. Mutch - is he even on the pitch? Fryers - out of his depth unfortunately. CPFC,hennessey - dreadful. mutch - is he even on the pitch? fryers - out of his depth unfortunately. cpfc
2017-En-21808,Loving @challengesophie @TEDx talk #challenge  #map #inspiration #stayunstoppable,fear,0: no fear can be inferred,0,Loving talk challenge map inspiration stayunstoppable,loving talk challenge map inspiration stayunstoppable
2017-En-21409,Had a conversion with a random fellow passenger on a #melbourne @metrotrains yesterday evening #astounded #youwouldntreadaboutit,fear,0: no fear can be inferred,0,Had a conversion with a random fellow passenger on a melbourne yesterday evening astounded youwouldntreadaboutit,had a conversion with a random fellow passenger on a melbourne yesterday evening astounded youwouldntreadaboutit
2017-En-20883,@NandosSA just received order from @OrderInSA &amp; the chips are under cooked &amp; half raw!!! Usually best part of the meal #notcool ,fear,0: no fear can be inferred,0,just received order from &amp; the chips are under cooked &amp; half raw!!! Usually best part of the meal notcool,just received order from &amp; the chips are under cooked &amp; half raw!!! usually best part of the meal notcool
2017-En-21392,"@atlabps He doesn't intimidate me, it just annoys me to have him by my side. The further he is, the better I feel",fear,0: no fear can be inferred,0,"He doesn't intimidate me, it just annoys me to have him by my side. The further he is, the better I feel","he doesn't intimidate me, it just annoys me to have him by my side. the further he is, the better i feel"
2017-En-21889,"@ShannonBeador we know the truth about her, the public is figuring it out. Her words mean nothing. #unhappy #mean #troubled #vile ",fear,0: no fear can be inferred,0,"we know the truth about her, the public is figuring it out. Her words mean nothing. unhappy mean troubled vile","we know the truth about her, the public is figuring it out. her words mean nothing. unhappy mean troubled vile"
