ID,Tweet,Affect Dimension,Intensity Class,Intensity,Clean_Tweet_Cased,Clean_Tweet
2017-En-30427,I wish there was a #glee version of @ShawnMendes Stitches. @GLEEonFOX #gleekforever,joy,1: low amount of joy can be inferred,1,I wish there was a glee version of Stitches. gleekforever,i wish there was a glee version of stitches. gleekforever
2017-En-30249,Rojo is so bad it's hilarious.,joy,2: moderate amount of joy can be inferred,2,Rojo is so bad it's hilarious.,rojo is so bad it's hilarious.
2017-En-30633,@fillegrossiere @PeasParsley @tombrodude bobs burgers is an animated show. Maybe Bob looks like him. They would cast him based on voice too,joy,0: no joy can be inferred,0,bobs burgers is an animated show. Maybe Bob looks like him. They would cast him based on voice too,bobs burgers is an animated show. maybe bob looks like him. they would cast him based on voice too
2017-En-30497,Never make a #decision when you're #angry and never make a #promise when you're #happy. #wisewords,joy,1: low amount of joy can be inferred,1,Never make a decision when you're angry and never make a promise when you're happy. wisewords,never make a decision when you're angry and never make a promise when you're happy. wisewords
2017-En-30364,"Another joyful encounter in Tribez &amp; Castlez! I just met Mouchole, Ogre Cook! Do you want to know who that is? Download the game and find...",joy,1: low amount of joy can be inferred,1,"Another joyful encounter in Tribez &amp; Castlez! I just met Mouchole, Ogre Cook! Do you want to know who that is? Download the game and find...","another joyful encounter in tribez &amp; castlez! i just met mouchole, ogre cook! do you want to know who that is? download the game and find..."
2017-En-31265,After this news I'm supposed to be so damn happy and rejoicing but I'm here like 😩😔😭😞,joy,0: no joy can be inferred,0,After this news I'm supposed to be so damn happy and rejoicing but I'm here like weary_facepensive_faceloudly_crying_facedisappointed_face,after this news i'm supposed to be so damn happy and rejoicing but i'm here like weary_facepensive_faceloudly_crying_facedisappointed_face
2017-En-31270,@strictlysimilak something about English sparkling wine would be good. Or farmhouse cider. Or Italian cocktails. Thanks.,joy,0: no joy can be inferred,0,something about English sparkling wine would be good. Or farmhouse cider. Or Italian cocktails. Thanks.,something about english sparkling wine would be good. or farmhouse cider. or italian cocktails. thanks.
2017-En-31412,Moment of levity n Charlotte dude on rollerblades goes skating through protesters. Better if he was wearing short shorts &amp; blowing a whistle,joy,0: no joy can be inferred,0,Moment of levity n Charlotte dude on rollerblades goes skating through protesters. Better if he was wearing short shorts &amp; blowing a whistle,moment of levity n charlotte dude on rollerblades goes skating through protesters. better if he was wearing short shorts &amp; blowing a whistle
2017-En-30987,@Author_LB Awesome. My 9 yr old grandson runs cross country. No Simon Whitfield but still a lot of fun cheering him on.,joy,3: high amount of joy can be inferred,3,Awesome. My 9 yr old grandson runs cross country. No Simon Whitfield but still a lot of fun cheering him on.,awesome. my 9 yr old grandson runs cross country. no simon whitfield but still a lot of fun cheering him on.
2017-En-30079,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym  #tumbling,joy,3: high amount of joy can be inferred,3,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! opengym tumbling,had a great time at skywalkers open gym tonight! come our every wednesday from 7-8 in hillsboro and train with us! opengym tumbling
2017-En-31607,"@selbsie yapyap! once upon a time, I was an avid fanfiction patron during my K-Pop heyday.",joy,2: moderate amount of joy can be inferred,2,"yapyap! once upon a time, I was an avid fanfiction patron during my K-Pop heyday.","yapyap! once upon a time, i was an avid fanfiction patron during my k-pop heyday."
2017-En-31419,Finally have all my braces on and I can't stop smiling 😊😊😊😊😊,joy,3: high amount of joy can be inferred,3,Finally have all my braces on and I can't stop smiling smiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyes,finally have all my braces on and i can't stop smiling smiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyes
