epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Dropout,Hidden Size,Training Time,Validation Time
1,1.6170975607494975,1.6280374343578632,0.02547044164226979,0.14206924829673442,0.009386826880535604,0.09854857566511732,0.1,0.1,32,0:00:00,0:00:00
2,1.567569521970527,1.4607350734563975,0.07396805554251404,0.2140271088133804,0.03570038827616173,0.1638587887895805,0.1,0.1,32,0:00:00,0:00:00
3,1.553254440773365,1.3920451815311725,-0.09142898193266527,-0.22665641313520973,-0.05380127278943836,-0.04771543247501531,0.1,0.1,32,0:00:00,0:00:00
4,1.5317704677581787,1.3195605828211858,-0.06106611440017873,-0.13026139930673425,-0.029915353148477708,-0.02233977992282421,0.1,0.1,32,0:00:00,0:00:00
5,1.4785635887190354,1.2506655775583708,-0.053220498260674855,-0.09541144680738374,-0.022868547312559606,-0.013246548233221578,0.1,0.1,32,0:00:00,0:00:00
6,1.5093642916790275,1.5444183808106642,0.023538309373504637,-0.05838360922125818,0.010264412234399223,-0.048008768724881135,0.1,0.1,32,0:00:00,0:00:00
7,1.5340302517247755,1.5419166546601515,-0.024251772228905795,-0.0352108624744904,-0.010942587728323572,-0.031368884736034275,0.1,0.1,32,0:00:00,0:00:00
8,1.5321431520373323,1.7648691397446852,-0.004726082581478507,0.04062170704041749,-0.0014604283525772033,0.03014561196379384,0.1,0.1,32,0:00:00,0:00:00
9,1.4932646557342175,1.8143090834984412,0.06413780888719342,0.11017119450658902,0.016680597014925413,0.05332036431161025,0.1,0.1,32,0:00:00,0:00:00
10,1.492777707964875,1.5944199103575487,0.0564866321096999,0.1310817626972729,0.014674174594672462,0.06570576846246023,0.1,0.1,32,0:00:00,0:00:00
1,1.385461122490639,1.3110081049112172,0.08329179143049927,0.021566689970407962,0.07926491057318974,0.01719104768083035,0.01,0.1,32,0:00:00,0:00:00
2,1.2640698344208474,1.4117891605083759,0.19964038542542806,0.16877506638141326,0.16159686738933188,0.16119162099458662,0.01,0.1,32,0:00:00,0:00:00
3,1.143518944119298,1.4007548643992498,0.3329653841206145,0.24400245924730027,0.2745206513395174,0.23017795433259047,0.01,0.1,32,0:00:00,0:00:00
4,1.0269520282745361,1.5546486561114972,0.35402417842047107,0.291335246617296,0.3040515857868187,0.2629530527852104,0.01,0.1,32,0:00:00,0:00:00
5,0.9573539620222047,1.7476375011297374,0.35400026703259874,0.26074953636073006,0.28592022666561423,0.2413322159108544,0.01,0.1,32,0:00:00,0:00:00
6,0.9367735884910406,1.682708089168255,0.41360801846475564,0.3011516262345449,0.34591255554083833,0.2723300830415786,0.01,0.1,32,0:00:00,0:00:00
7,0.8428550390310066,1.7139608309819148,0.3608831310119953,0.1978465545319539,0.3109525543671292,0.18659437521798405,0.01,0.1,32,0:00:00,0:00:00
8,0.7643528539080953,1.6269690073453462,0.32657164839514097,0.2559794660501467,0.2897215867656313,0.24358670236199131,0.01,0.1,32,0:00:00,0:00:00
9,0.7339359334734983,1.7170316164310162,0.3559439237014944,0.34998873675187075,0.3197137782102417,0.32216743018878935,0.01,0.1,32,0:00:00,0:00:00
10,0.686523301656856,1.8648081926199107,0.34758158990281923,0.30356802912858766,0.3148216904598362,0.28061391744896436,0.01,0.1,32,0:00:00,0:00:00
1,1.3824395412622497,1.3713095004741962,0.061983525375422475,0.14869504760204183,0.02355008551143911,0.10983050847457632,0.001,0.1,32,0:00:00,0:00:00
2,1.313497130260911,1.2896963082827055,0.2707132780147941,0.04211042683801488,0.2509689825931867,0.03849965464428362,0.001,0.1,32,0:00:00,0:00:00
3,1.1813888785450957,1.1774816237963164,0.43573838334746684,0.2142287370461156,0.42502225338524957,0.19250938476086776,0.001,0.1,32,0:00:00,0:00:00
4,1.1019308788831843,1.3046203026404748,0.4463361318815397,0.23001292381536398,0.3782104074511169,0.2124375704849364,0.001,0.1,32,0:00:00,0:00:00
5,1.041597333065299,1.2029933012448824,0.45391497842533174,0.25542849245574856,0.42335647771869134,0.23863947232438676,0.001,0.1,32,0:00:00,0:00:00
6,0.9956431236377982,1.2827569613089929,0.447097167681037,0.2826277324322295,0.402642862515985,0.27749512260433795,0.001,0.1,32,0:00:00,0:00:00
7,0.9405436210854109,1.3439880701211782,0.4830573155996125,0.2853211926396396,0.4228016337147412,0.26942707453101233,0.001,0.1,32,0:00:00,0:00:00
