epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Dropout,Hidden Size,Training Time,Validation Time
1,1.3986168587416934,1.2014699028088496,-0.016697912055492675,-0.07641297339219061,-0.009814328726935662,-0.012969467711429372,0.1,0.1,32,0:00:00,0:00:01
2,1.2867215809069181,1.1605794704877412,0.03519842307012219,0.1347590768683376,0.03071139735995798,0.04139056948045705,0.1,0.1,32,0:00:00,0:00:00
3,1.3858639148243688,1.483972824536837,0.005090999526667948,0.12205748538892146,0.0045702564919547495,0.04045176904460068,0.1,0.1,32,0:00:00,0:00:00
4,1.4038734341922559,1.12197672862273,-0.009992109546899093,0.05377018056584286,-0.004370190279089359,0.005857814857548438,0.1,0.1,32,0:00:00,0:00:00
5,1.229598697863127,1.2670530814390917,-0.05685775312499587,0.03984147629616053,-0.02914101378862677,0.0038654133356760267,0.1,0.1,32,0:00:00,0:00:00
6,1.2577681844694573,1.2244152197471032,-0.002537882796113297,-0.06540714919479688,-0.0017869343564409501,-0.015118790496760237,0.1,0.1,32,0:00:00,0:00:00
7,1.1973543763160706,1.4554704977915838,0.0685550813256541,0.1498963539042281,0.02888627207933059,0.14507398051245035,0.1,0.1,32,0:00:00,0:00:00
8,1.2578551100011457,1.3000018046452448,0.04451888530592409,0.04949320629214378,0.02829759812536614,0.01062025881302986,0.1,0.1,32,0:00:00,0:00:00
9,1.289074252571976,1.1908611196738024,0.13952811262622278,0.06689132700041024,0.0744592652188204,0.014917177633385181,0.1,0.1,32,0:00:00,0:00:00
10,1.1938128136751944,1.3497841954231262,-0.005372719959695808,-0.027393201713291092,-0.002806084056296454,-0.004393287057376405,0.1,0.1,32,0:00:00,0:00:00
1,1.0587204192814075,1.0084289495761578,0.0,0.0,0.0,0.0,0.01,0.1,32,0:00:00,0:00:00
2,0.9910802255597031,1.0144916085096507,-0.04739711990301379,,-0.0049924240478698145,0.0,0.01,0.1,32,0:00:00,0:00:00
3,0.9468124257890802,1.004413712483186,0.08424440036553421,0.03913919419537012,0.06501478607428623,0.01218081746819455,0.01,0.1,32,0:00:00,0:00:00
4,0.8699228146619964,1.0700258108285756,0.08801452311897151,0.09729528211170033,0.07110449844786115,0.02823434506403144,0.01,0.1,32,0:00:00,0:00:00
5,0.8123320539792379,1.1237381467452416,0.07952576452003932,0.13346842913290463,0.07306643132220791,0.05012118274357735,0.01,0.1,32,0:00:00,0:00:00
