epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Dropout,Hidden Size,Training Time,Validation Time
1,1.526968708405128,1.4966765367067778,0.030035440820598832,0.0927920409878829,0.015143536964816184,0.019867964081223932,0.1,0.1,32,0:00:00,0:00:00
2,1.519685616860023,1.5401964554419885,0.02805404979771352,0.04568883007162668,0.015805867802934026,0.011520822253931917,0.1,0.1,32,0:00:00,0:00:00
3,1.5328535055502868,1.562406824185298,0.037458119976331486,0.05812234349055734,0.01977056165152824,0.05343788242759395,0.1,0.1,32,0:00:00,0:00:00
4,1.5050557484993567,1.5070170714304998,0.09686057221975289,0.029740876164539423,0.04292423293675651,0.018677726274701212,0.1,0.1,32,0:00:00,0:00:00
5,1.4303268499863453,1.6262019322468684,0.020205695209549915,0.07421555668989997,0.010242975587286818,0.06649473757579982,0.1,0.1,32,0:00:00,0:00:00
6,1.6011940424258893,1.4853830704322228,0.04019721672304046,-0.04715804650233381,0.02956875870169562,-0.020631084347109807,0.1,0.1,32,0:00:00,0:00:00
7,1.491163819264143,1.5562648498095,0.06442989995764214,0.058217578833695126,0.02320794711604246,0.009586572724327724,0.1,0.1,32,0:00:00,0:00:00
8,1.4781426130196986,1.5508872545682466,-0.0195105140394122,-0.07949675689283793,-0.010728817750601305,-0.019649857943272453,0.1,0.1,32,0:00:00,0:00:00
9,1.4724079615030534,1.4735674858093262,0.13725567734121394,0.10684189349057835,0.09324454047287312,0.10269173655700325,0.1,0.1,32,0:00:00,0:00:00
10,1.4845611101541765,1.562986474770766,0.04600037006093585,-0.03161421492047153,0.026219747396322823,-0.01351432338487335,0.1,0.1,32,0:00:00,0:00:00
1,1.3415172130633624,1.2654255811984723,0.20565011986093873,0.15519657270465162,0.17244927335344984,0.07592102584978633,0.01,0.1,32,0:00:00,0:00:00
2,1.2653556618935022,1.3028487058786244,0.18208010302623,0.09973408371992784,0.16971356205629962,0.05860964248511169,0.01,0.1,32,0:00:00,0:00:00
3,1.1653104241077716,1.384942861703726,0.28473217091336595,0.19951993147300182,0.26724250963716667,0.16924581578407705,0.01,0.1,32,0:00:00,0:00:00
4,1.0503779237086956,1.4001377775118902,0.2595706301963393,0.2617824237506842,0.25203124386701736,0.1723143619832611,0.01,0.1,32,0:00:00,0:00:00
5,0.9834330998934232,1.4632951387992272,0.3212752910171181,0.34033218775155766,0.3150066545592233,0.2757062673218903,0.01,0.1,32,0:00:00,0:00:00
6,0.8683822965010618,1.5261761041787953,0.3075114719902497,0.2923525366889185,0.2993453968815004,0.250640421842126,0.01,0.1,32,0:00:00,0:00:00
7,0.8411559966894296,1.5778412543810332,0.269244864930131,0.190517833470996,0.2563437338595085,0.17138730016201764,0.01,0.1,32,0:00:00,0:00:00
