,epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Weight Decay,Dropout,Epsilon,Training Time,Validation Time
0,1,1.3665754000345867,1.361324429512024,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
1,2,1.3356953186866565,1.3220497369766235,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
2,3,1.2853484734510765,1.2181836366653442,0.5189239184181841,0.3183774741449311,0.49306936490384945,0.3019490797268576,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
3,4,1.0569776862095563,1.1331982612609863,0.5661316642862124,0.43905316927580607,0.5499482379514207,0.3797455815220532,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
4,5,0.8836730565780249,1.2994107007980347,0.585185579993114,0.41532033288013404,0.5061304971597185,0.38047631359705825,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
5,6,0.7076432636150947,1.2549057006835938,0.6130520383637542,0.4319465230745039,0.5832531769667597,0.40735072359388713,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
6,7,0.5365065068770678,1.3266621828079224,0.6332669176929449,0.4803862178014777,0.6224032948636276,0.46803032056474936,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
7,1,1.346333968333709,1.3325064182281494,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
8,2,1.2761038939158122,1.1858800649642944,0.5768448377944239,0.38715972381079855,0.5524782491666986,0.3323849559643879,2e-05,0.8,0.1,1e-07,0:00:18,0:00:20
9,3,1.0383263474855668,1.0944191217422485,0.6105727485121026,0.4235260473799181,0.5850311634797707,0.3838478447863901,2e-05,0.8,0.1,1e-07,0:00:19,0:00:21
10,4,0.8516117991545261,1.23219633102417,0.6130063220200032,0.462902933745326,0.5436505535725089,0.43039719170512913,2e-05,0.8,0.1,1e-07,0:00:19,0:00:21
11,5,0.6634660004041134,1.2937874794006348,0.660144336662385,0.46174187354502444,0.6090679453696963,0.4254382350517406,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
12,6,0.46915353681796634,1.2627806663513184,0.6553543016025374,0.5172434021684809,0.6481703232068534,0.4976218132909458,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
13,7,0.3075018815505199,1.6453487873077393,0.6471742547745877,0.5009377435887294,0.6100074198706226,0.4919158638139328,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
14,1,1.3546316073491023,1.3442686796188354,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
15,2,1.3299416792698395,1.2974141836166382,0.0996767420044313,0.06967804994309632,0.024951158247278782,0.008832442778531013,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
16,3,1.1824602087338765,1.0630139112472534,0.6350463493003479,0.4447573300560838,0.6274135448343124,0.3841921046100656,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
17,4,0.8988442482092441,1.2063589096069336,0.6344484289165024,0.42767621078100704,0.5761757798093907,0.38538590959230734,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
18,5,0.7024759527964469,1.2407300472259521,0.586732116559675,0.42462863559042063,0.545918522486194,0.4055536340728296,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
19,6,0.5296563658958826,1.5178407430648804,0.603154264200152,0.41723612140090305,0.5496353650850814,0.405750661612188,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
20,7,0.37243200571109086,1.6283007860183716,0.6171675324791998,0.45094867066664895,0.5753016046538867,0.4417055848785475,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
21,1,1.3604268691478631,1.4135748147964478,0.1809338648171851,0.11424919991564736,0.10038267726795058,0.07929140077924601,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
22,2,1.2333857875603895,1.1313871145248413,0.5581783140020079,0.3889998284122447,0.5437972488340377,0.3184281445896068,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
23,3,1.0312686287439787,1.1034821271896362,0.6061155529854105,0.4924017985791656,0.5979257679872998,0.4394437327094821,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
