epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Dropout,Hidden Size,Training Time,Validation Time
1,1.299642681029805,1.4204081572019136,0.12847345500178484,0.09285368855799402,0.05277785019683501,0.013381417860871325,0.1,0.1,25,0:00:00,0:00:00
2,1.3748050980400621,1.3159840932259192,-0.013920446578350674,-0.04630741395110154,-0.005456634118322645,-0.004521204448865168,0.1,0.1,25,0:00:00,0:00:00
3,1.2510324883879276,1.421391798899724,0.05468154566575913,0.0020452101866129313,0.04564246907115277,0.0016811860003055346,0.1,0.1,25,0:00:00,0:00:00
4,1.2733612353341621,1.2578364977469811,-0.058124524379266074,,-0.014829053961279648,0.0,0.1,0.1,25,0:00:00,0:00:00
5,1.2219111281528807,1.1923484206199646,-0.029096809069768012,0.03776918187717438,-0.010777047311036014,0.0028960070206229815,0.1,0.1,25,0:00:00,0:00:00
6,1.1779156212221111,1.3820438476709218,-0.0309829840277031,-0.03558502227444118,-0.028269145010243912,-0.02480477721635288,0.1,0.1,25,0:00:00,0:00:00
7,1.169774313767751,1.3618101523472712,-0.004390935480124176,-0.1465026914715731,-0.0038122982583910225,-0.048731169750278136,0.1,0.1,25,0:00:00,0:00:00
8,1.1288735458725376,1.4223428735366235,0.0,0.0,0.0,0.0,0.1,0.1,25,0:00:00,0:00:00
9,1.1359690793773585,1.396231839290032,-0.050543312204170784,,-0.012351452185139555,0.0,0.1,0.1,25,0:00:00,0:00:00
10,1.1486116250356038,1.449306139579186,0.008002316351900773,0.012959609787629296,0.0067351629787588685,0.004419602235798847,0.1,0.1,25,0:00:00,0:00:00
1,1.0224962218811637,1.0340840174601629,0.11009842513725038,0.1775336906715916,0.07251838677113864,0.04103671706263501,0.01,0.1,25,0:00:00,0:00:00
2,0.9139728263804787,1.0103352390802824,0.15603408947683498,0.2783428457001017,0.09249244588440142,0.057743998517008066,0.01,0.1,25,0:00:00,0:00:00
3,0.856786663072151,1.0056190536572382,0.2006473985110346,0.08784273950252705,0.17567387501235776,0.03654832966802801,0.01,0.1,25,0:00:00,0:00:00
4,0.7864482078635902,1.062324542265672,0.22525051422203907,0.2028638257233035,0.1710566890501809,0.06821094135041894,0.01,0.1,25,0:00:00,0:00:00
5,0.7548765958401195,1.0466027076427753,0.15163718303130047,0.11481827976952108,0.13450230439158772,0.044046205333045485,0.01,0.1,25,0:00:00,0:00:00
6,0.7420481134924972,1.1205565149967487,0.19435446428401887,0.1679004363104284,0.1921265012865443,0.09099514850313561,0.01,0.1,25,0:00:00,0:00:00
7,0.6902932796561927,1.1585189241629381,0.2548330408920173,0.05403710955489482,0.25231521929058187,0.03799034772924137,0.01,0.1,25,0:00:00,0:00:00
8,0.6766033073266348,1.2108145585426917,0.21749251835404065,0.12481165709180674,0.21746926042813097,0.07890200238695122,0.01,0.1,25,0:00:00,0:00:00
9,0.6542348223820067,1.3472205675565279,0.18911337143744678,0.1002619732698796,0.18833871736482555,0.059377608203171506,0.01,0.1,25,0:00:00,0:00:00
10,0.62752436127579,1.2181127667427063,0.2036590539567909,0.13594784557978382,0.1921013375969408,0.06417893672024277,0.01,0.1,25,0:00:00,0:00:00
1,1.1230400622936718,1.0416206809190602,0.0,0.0,0.0,0.0,0.001,0.1,25,0:00:00,0:00:00
2,0.9369213967992548,1.0216632256141076,0.20384376210835842,0.23178737303031716,0.13023126089482862,0.06391752577319587,0.001,0.1,25,0:00:00,0:00:00
3,0.8484950792371181,1.0021155109772315,0.28171135094967054,0.2509696370587963,0.27374328419765726,0.13809679886376036,0.001,0.1,25,0:00:00,0:00:00
4,0.7810025654341045,1.053059275333698,0.1812319898202017,0.1566064572866736,0.15113182142419979,0.058530159028888584,0.001,0.1,25,0:00:00,0:00:00
5,0.7321854751361044,1.0229890667475188,0.3277982284457981,0.32556664103689525,0.31518586966843687,0.17831325301204803,0.001,0.1,25,0:00:00,0:00:00
6,0.6707140568055605,1.0404797654885511,0.29426821943376374,0.21313802372026658,0.2798841657321064,0.11321157748584854,0.001,0.1,25,0:00:00,0:00:00
7,0.6403303433928573,0.9875590755389287,0.4311455567065263,0.3965094570846131,0.38954357191916245,0.20381753477838882,0.001,0.1,25,0:00:00,0:00:00
8,0.6168644271398845,0.9879604898966275,0.40795487814678694,0.3079531256850469,0.405695249735434,0.2076378688743491,0.001,0.1,25,0:00:00,0:00:00
9,0.5544803952961638,1.0392378935447106,0.37408179967332833,0.30587912392518335,0.3627435071207238,0.1794361913674113,0.001,0.1,25,0:00:00,0:00:00
10,0.5169421450087899,1.1312687121904814,0.328948287838114,0.27826895559271114,0.30932882808894724,0.14559469007600911,0.001,0.1,25,0:00:00,0:00:00
1,1.3534573609368843,1.3392607340445886,-0.03580700846700814,-0.10412649207720011,-0.03528703734661809,-0.04757760371337372,0.0001,0.1,25,0:00:00,0:00:00
2,1.2867891286548816,1.2723295321831336,0.03786648063858277,0.08322158858944662,0.02862980223536793,0.020922017933158066,0.0001,0.1,25,0:00:00,0:00:00
3,1.2122908370536671,1.202763713323153,0.05236964978387246,0.018253199245536304,0.02125009304980041,0.0027209690160625577,0.0001,0.1,25,0:00:00,0:00:00
4,1.1359741374066001,1.133732176744021,0.020110513340880962,-0.08931100048530444,0.0014990348679617682,-0.0030527692978630228,0.0001,0.1,25,0:00:00,0:00:00
5,1.0680097142855327,1.0778034787911634,0.020110513340880962,-0.08931100048530444,0.0014990348679617682,-0.0030527692978630228,0.0001,0.1,25,0:00:00,0:00:00
6,1.0176785347754496,1.0446694539143488,0.020110513340880962,-0.08931100048530444,0.0014990348679617682,-0.0030527692978630228,0.0001,0.1,25,0:00:00,0:00:00
7,0.9873706165112948,1.0327590795663686,0.06641448282706255,-0.04346342868672059,0.006995557153496423,-0.002103971245726477,0.0001,0.1,25,0:00:00,0:00:00
8,0.9599279458062691,1.0297976457155669,0.04467926161695858,0.035583010192658075,0.014189603676625917,0.0038498556304138454,0.0001,0.1,25,0:00:00,0:00:00
9,0.9346211751302084,1.0327069484270537,0.04809264539503066,0.0069568045045849914,0.01566548110734922,0.0007914871163486881,0.0001,0.1,25,0:00:00,0:00:00
10,0.9120986022447285,1.0284202694892883,0.17609254423019338,0.1614242379806754,0.0849738909765263,0.0340939358962975,0.0001,0.1,25,0:00:00,0:00:00
1,1.4054165074699803,1.4082032350393443,-0.08971438692600973,-0.013258257431949657,-0.04843850866462529,-0.012935016938712796,1e-05,0.1,25,0:00:00,0:00:00
2,1.3996017585720932,1.4030869007110596,-0.060195115331549656,0.005186209501237324,-0.03474037626922777,0.005037037037036951,1e-05,0.1,25,0:00:00,0:00:00
3,1.3956724070666129,1.3984456337415254,-0.030299724338285292,-0.007978096061055224,-0.01889635469575457,-0.00768136557610255,1e-05,0.1,25,0:00:00,0:00:00
4,1.3885916408739591,1.3931166667204637,-0.036043497101965714,-0.03527120485311595,-0.024124331870126747,-0.033096926713947816,1e-05,0.1,25,0:00:00,0:00:00
5,1.3832134907705742,1.388279419678908,0.027049292840771844,-0.0027347232220061874,0.019586817430128356,-0.0025490695895995508,1e-05,0.1,25,0:00:00,0:00:00
6,1.3771230233343024,1.3829989983485296,-0.02197410692193877,-0.11724169768929996,-0.017425158430020682,-0.10061952574236299,1e-05,0.1,25,0:00:00,0:00:00
7,1.3728286927206474,1.3775494465461144,-0.02004563431981851,-0.060797313162239845,-0.017007075871545707,-0.04801355676897012,1e-05,0.1,25,0:00:00,0:00:00
8,1.366422925079078,1.3717273657138531,0.017038903515122307,-0.03147675144572144,0.015317401344897341,-0.023655160329419944,1e-05,0.1,25,0:00:00,0:00:00
9,1.3615628982845105,1.367687619649447,-0.01564166847546809,-0.07309706129174602,-0.014711889483925988,-0.0491475963753647,1e-05,0.1,25,0:00:00,0:00:00
10,1.3558863945174635,1.361361732849708,-0.0020664020893227525,-0.003254058748649277,-0.0019989535679310055,-0.0020129403306974325,1e-05,0.1,25,0:00:00,0:00:00
1,1.396804550237823,1.3955926620043242,-0.03462105022445865,-0.05692443488325939,-0.019648375066595447,-0.023950408565793113,1e-06,0.1,25,0:00:00,0:00:00
2,1.396397634556419,1.3951394649652333,-0.019307762229598974,-0.04285367731847231,-0.011265164644714165,-0.02039129236704329,1e-06,0.1,25,0:00:00,0:00:00
3,1.3960090791969968,1.39549878010383,0.003777802944655848,-0.03762538021495258,0.0021251703892926077,-0.017642117054046613,1e-06,0.1,25,0:00:00,0:00:00
4,1.3943339063410174,1.3944629430770874,0.003640343431281081,-0.03762538021495258,0.0021075712901955646,-0.017642117054046613,1e-06,0.1,25,0:00:00,0:00:00
5,1.3953637449364913,1.392507323851952,-0.015631353053124866,-0.03455244322972815,-0.00847754271587653,-0.014040999719180158,1e-06,0.1,25,0:00:00,0:00:00
6,1.3935673487813849,1.391891598701477,-0.020342325153122107,-0.03455244322972815,-0.011094340033893202,-0.014040999719180158,1e-06,0.1,25,0:00:00,0:00:00
7,1.3938044895205581,1.3915637273054857,-0.024468404748317765,-0.03455244322972815,-0.013634201193668316,-0.014040999719180158,1e-06,0.1,25,0:00:00,0:00:00
8,1.3927586915200216,1.3914976486792932,0.0073033543602176645,0.0041475621373101845,0.004216232495106165,0.001922548750343367,1e-06,0.1,25,0:00:00,0:00:00
