epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Dropout,Hidden Size,Training Time,Validation Time
1,1.565440454134127,1.8550037503242494,0.021922468916413487,-0.008074917662757117,0.00828741860571025,-0.0019363907309875028,0.1,0.1,25,0:00:00,0:00:00
2,1.590204465680006,1.6772111773490905,0.04535615702827202,0.0054557682444710005,0.038811203065758804,0.0035286026135582516,0.1,0.1,25,0:00:00,0:00:00
3,1.5092682663987322,1.8604040741920471,0.05249289288504788,0.07412829559157154,0.019770408163265363,0.018140407153595106,0.1,0.1,25,0:00:00,0:00:00
4,1.4885385559826363,1.793857991695404,0.10321714627166083,0.036285967356271556,0.08998323900576499,0.024807210416060155,0.1,0.1,25,0:00:00,0:00:00
5,1.4415221708576853,1.5375266671180725,0.06554913757912016,0.09349456067791483,0.02882720403755401,0.049755301794453644,0.1,0.1,25,0:00:00,0:00:00
6,1.499472810000908,1.7718166828155517,0.04446536080298143,0.007871018118274146,0.030583716237570724,0.006856399799036739,0.1,0.1,25,0:00:00,0:00:00
7,1.484733726920151,1.6024456381797791,-0.025165104238819146,-0.0737608688961356,-0.011989978525411615,-0.051201698299173426,0.1,0.1,25,0:00:00,0:00:00
8,1.497061360173109,1.7309092342853547,0.07431943210881498,0.035193519388881156,0.0738950100511464,0.03328553630615183,0.1,0.1,25,0:00:00,0:00:00
9,1.4392384203468882,1.5438571751117707,0.008948668254501873,-0.004598029694415494,0.0028892148263890416,-0.0018400772468072368,0.1,0.1,25,0:00:00,0:00:00
10,1.4550442870070295,2.060287022590637,-0.0007190766819481151,-0.02241399965724026,-0.0002463661000247086,-0.009372971338627467,0.1,0.1,25,0:00:00,0:00:00
1,1.2862837547209205,1.474998700618744,0.27136642468729044,0.24681328391050936,0.2300359258792387,0.2073087677971942,0.01,0.1,25,0:00:00,0:00:00
2,1.1209987227509661,1.3451565384864808,0.34551123547177126,0.3231652154813279,0.33277142466627174,0.28632214787498544,0.01,0.1,25,0:00:00,0:00:00
3,1.0426539139049809,1.3720920860767365,0.3981141613339719,0.3005917627790573,0.382023572751232,0.25103517503868833,0.01,0.1,25,0:00:00,0:00:00
4,0.9605902273480486,1.4047026634216309,0.33818712416444674,0.2785639261255423,0.33119158878504673,0.2568619770519056,0.01,0.1,25,0:00:00,0:00:00
5,0.8696067362296872,1.4400018393993377,0.44114165707538966,0.4097063267956319,0.4282771413391001,0.3649352531478308,0.01,0.1,25,0:00:00,0:00:00
6,0.771261181773209,1.6175020933151245,0.3633683629979825,0.273771889197001,0.3468793190880074,0.2555587960216016,0.01,0.1,25,0:00:00,0:00:00
7,0.7421509223740276,1.6932883262634277,0.40963940504153445,0.3125895687231388,0.38463676797627877,0.28528115969491685,0.01,0.1,25,0:00:00,0:00:00
8,0.683923717679047,1.7793277025222778,0.3757525785028874,0.3421147283416873,0.3605978419933269,0.31598034069761904,0.01,0.1,25,0:00:00,0:00:00
9,0.651811181772046,1.7667309880256652,0.38784021546136915,0.37425630054942377,0.3770273761566211,0.33629169763476596,0.01,0.1,25,0:00:00,0:00:00
10,0.6229838198278008,1.968562650680542,0.4287435838585447,0.40703634076927303,0.4188376753507014,0.3617732041058924,0.01,0.1,25,0:00:00,0:00:00
1,1.3534475564956665,1.4096664667129517,0.1700188758374055,0.10602496973133788,0.14720505691262953,0.07232127225802076,0.001,0.1,25,0:00:00,0:00:00
2,1.2204400446356796,1.3772054672241212,0.34037087004191746,0.33690265337562003,0.31505712259096597,0.2703041179546437,0.001,0.1,25,0:00:00,0:00:00
3,1.0919316294716626,1.3582700967788697,0.40729728952572336,0.3561693537201841,0.3827986281711381,0.3032554717675189,0.001,0.1,25,0:00:00,0:00:00
4,1.0157904959306485,1.37892005443573,0.4094608340656578,0.3699371283999975,0.3574629814928486,0.3192509058051256,0.001,0.1,25,0:00:00,0:00:00
5,0.962878513626936,1.3502659916877746,0.4657723960295681,0.41466271589860676,0.44547310860386236,0.35170196757939853,0.001,0.1,25,0:00:00,0:00:00
6,0.9221279650199704,1.3406643390655517,0.43369230252164714,0.37887714142262324,0.411174081842117,0.34071264387907607,0.001,0.1,25,0:00:00,0:00:00
7,0.8786172343463432,1.329533588886261,0.485204885734217,0.40279687175873136,0.4704340795673144,0.3636042870374454,0.001,0.1,25,0:00:00,0:00:00
8,0.8395374708059358,1.3982404470443726,0.432202517422471,0.3750484061857113,0.40723436872650287,0.34012836408722924,0.001,0.1,25,0:00:00,0:00:00
9,0.8176762432586856,1.4381948709487915,0.46715580128775697,0.4173023677235688,0.4512211724344487,0.3717697380146141,0.001,0.1,25,0:00:00,0:00:00
10,0.763908589758524,1.4058337688446045,0.4983819346835312,0.38777051241618254,0.48518366789567113,0.3589472673134185,0.001,0.1,25,0:00:00,0:00:00
1,1.3876463262046255,1.3834110260009767,0.18308287214232277,0.15945458539720683,0.1202387250363709,0.11596776657500774,0.0001,0.1,25,0:00:00,0:00:00
