epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Dropout,Hidden Size,Training Time,Validation Time
1,1.6188599513127253,1.6525788032091582,0.1443382253286569,0.028201568083813154,0.1371010778153886,0.02203480389836121,0.1,0.1,25,0:00:00,0:00:00
2,1.5310977055476263,1.7264773845672607,0.12631605513586855,0.11633465199596914,0.1137493658041604,0.09809272779579048,0.1,0.1,25,0:00:00,0:00:00
3,1.536436404937353,1.7225941969798162,0.06180267349935244,0.09466114773214551,0.0535870127809408,0.07371330788469121,0.1,0.1,25,0:00:00,0:00:00
4,1.5005958538789015,1.526203962472769,0.11653784181492942,0.13605304732461776,0.11521377616834783,0.09566610862928715,0.1,0.1,25,0:00:00,0:00:00
5,1.4473334703689966,1.6203166888310359,-0.0017060577658914357,0.02709078118923241,-0.0016721512434021424,0.020954458576417756,0.1,0.1,25,0:00:00,0:00:00
6,1.5362093020708134,1.860949681355403,0.14304958225990883,0.11647071213090908,0.1263424111376772,0.10905606384794098,0.1,0.1,25,0:00:00,0:00:00
7,1.5637192940100646,1.5546812552672167,-0.03738414367256818,-0.05471209931176983,-0.018738719451456998,-0.04996336325334294,0.1,0.1,25,0:00:00,0:00:00
8,1.3947208325068157,1.5093173613915076,0.05730949573876409,0.05265402421986427,0.031001515293576754,0.048530711194689435,0.1,0.1,25,0:00:00,0:00:00
9,1.4205328226089478,1.5468578522021954,0.14260726205275148,0.16765671426021514,0.13488482949999148,0.09607093234784359,0.1,0.1,25,0:00:00,0:00:00
10,1.438315260104644,1.4847752406046941,0.1627882840636133,0.14908068521052414,0.12393353315625455,0.06106172444525704,0.1,0.1,25,0:00:00,0:00:00
1,1.2794436644285152,1.2680102770145123,0.3727660500008278,0.26933503669466374,0.3543510717713555,0.18213960202839508,0.01,0.1,25,0:00:00,0:00:00
2,1.1342568198839824,1.295997564609234,0.41130510015274113,0.3606231165482073,0.3834969997286187,0.3448850305021117,0.01,0.1,25,0:00:00,0:00:00
3,1.047659620260581,1.2195205046580389,0.3918370590269209,0.2729841545740511,0.38491857219998893,0.20260465401665884,0.01,0.1,25,0:00:00,0:00:00
4,0.9814569277641101,1.247129880464994,0.4583640237278118,0.2985463153084805,0.457249334156987,0.25620614968807276,0.01,0.1,25,0:00:00,0:00:00
5,0.886339967067425,1.2581854095825782,0.44890839751171785,0.3210294409621117,0.44283666948013534,0.24742443724922147,0.01,0.1,25,0:00:00,0:00:00
6,0.7948405054899362,1.4017352966161876,0.46310029150206683,0.36050701155268233,0.45939752233551434,0.30105264943635324,0.01,0.1,25,0:00:00,0:00:00
7,0.6987397815936651,1.4951947606526887,0.44019660901745866,0.33607658930405765,0.4339405852875218,0.2861211653711505,0.01,0.1,25,0:00:00,0:00:00
8,0.6556074497027274,1.4101371352489178,0.46239690270121014,0.3449874777372139,0.46153297028289375,0.28985559210821177,0.01,0.1,25,0:00:00,0:00:00
9,0.6041173988427871,1.57834896674523,0.5156365107723272,0.3430213405048192,0.5014833380860186,0.3219169898219659,0.01,0.1,25,0:00:00,0:00:00
10,0.5759121370621216,1.8183568624349742,0.45912289405546164,0.25723800174978256,0.4115403180678425,0.23548303008185179,0.01,0.1,25,0:00:00,0:00:00
1,1.359365973717127,1.3008756637573242,0.18999940766543058,0.17989371729093534,0.08992293166751508,0.045908652476598255,0.001,0.1,25,0:00:00,0:00:00
2,1.2402171782958202,1.2161138424506555,0.37556237439163337,0.2752348123504718,0.35396315572234427,0.18077522128376233,0.001,0.1,25,0:00:00,0:00:00
3,1.1061624395541656,1.1851201974428618,0.4804211917004278,0.3300331294674185,0.45894323814730986,0.280353011738497,0.001,0.1,25,0:00:00,0:00:00
4,1.0035527562483764,1.1457878993107722,0.47668975696516824,0.3363771721722357,0.4661767169548465,0.29031331327948084,0.001,0.1,25,0:00:00,0:00:00
5,0.9427470289743863,1.1384623921834505,0.5112815899292895,0.40472409204165655,0.4986840706082518,0.35496139823210027,0.001,0.1,25,0:00:00,0:00:00
6,0.9244954173381512,1.1297425948656523,0.5207912165419443,0.39511171751385704,0.5149327298224178,0.33831761236124136,0.001,0.1,25,0:00:00,0:00:00
7,0.8781654498515985,1.2163543471923242,0.48041964678117993,0.36897925757704214,0.44810915594777834,0.3378402349370282,0.001,0.1,25,0:00:00,0:00:00
8,0.8623840136405749,1.1174262624520521,0.5055885766364121,0.359369534518315,0.5011990980489576,0.2974598540145984,0.001,0.1,25,0:00:00,0:00:00
9,0.815244217713674,1.145965759570782,0.5367166872875992,0.40173601287725974,0.5212665918801291,0.3583387692976734,0.001,0.1,25,0:00:00,0:00:00
10,0.7638291594309684,1.1283317024891193,0.5259807797454202,0.38278345264347596,0.5217327036355439,0.3455855855855856,0.001,0.1,25,0:00:00,0:00:00
1,1.3898419875365038,1.3702687666966364,0.03907915939482077,0.05251510029590743,0.037659077136178776,0.042539754144581,0.0001,0.1,25,0:00:00,0:00:00
2,1.3711909239108746,1.3554279987628644,0.014338728514559456,0.10213933099842892,0.014196137745410398,0.06425440031407448,0.0001,0.1,25,0:00:00,0:00:00
3,1.3544489023012993,1.3417221582852876,0.08335318698308512,0.05919195466884502,0.07922941493154079,0.033912959222461625,0.0001,0.1,25,0:00:00,0:00:00
4,1.3407300527279193,1.3281104289568388,0.11401717066990075,0.062306602564710545,0.10359791609791613,0.03301551356314858,0.0001,0.1,25,0:00:00,0:00:00
5,1.3244344271146333,1.3164374553240263,0.15253634601893712,0.0790376714829026,0.1363959942256041,0.04174630457201767,0.0001,0.1,25,0:00:00,0:00:00
6,1.3082070350646973,1.3066011850650494,0.22526858818968795,0.15086803848389352,0.1964381607536757,0.07932845582966874,0.0001,0.1,25,0:00:00,0:00:00
7,1.2912517541494124,1.2963557885243342,0.25981833526164877,0.17097531229596397,0.22442444105595738,0.09070678298023849,0.0001,0.1,25,0:00:00,0:00:00
8,1.2732320351478381,1.285361675115732,0.28441404506049434,0.19015132202983814,0.25174957343483395,0.10637382397328454,0.0001,0.1,25,0:00:00,0:00:00
9,1.2533296866294665,1.2729186094724214,0.2874031005896177,0.20488587291090682,0.25067570250559223,0.11143233597277813,0.0001,0.1,25,0:00:00,0:00:00
10,1.2317199156834528,1.2620561581391554,0.3221208857714871,0.22083389235461273,0.28268333180801963,0.12409142769238657,0.0001,0.1,25,0:00:00,0:00:00
1,1.3786971935859094,1.3655442641331599,0.02847403971462712,0.047155691382036874,0.023689242019502843,0.02056838875917144,1e-05,0.1,25,0:00:00,0:00:00
2,1.3788601679679675,1.363043867624723,0.052371047103365174,0.04634209840922512,0.04219688726997495,0.019625701442547938,1e-05,0.1,25,0:00:00,0:00:00
3,1.3758672659213727,1.3616946568855872,0.0702011534209454,0.09386091093837837,0.054705793115275125,0.03749729318161177,1e-05,0.1,25,0:00:00,0:00:00
4,1.3717021697606795,1.3589650575931256,0.11027624098180584,0.10494278155111245,0.08541194740523517,0.042615158467392944,1e-05,0.1,25,0:00:00,0:00:00
5,1.3740112903790596,1.3584343561759362,0.11980000707919831,0.058857248380074834,0.08905348756579579,0.023029871690714687,1e-05,0.1,25,0:00:00,0:00:00
6,1.3711902392216218,1.3564390861071074,0.13235032164892388,0.12125206695405964,0.09217238346525947,0.04298026340335048,1e-05,0.1,25,0:00:00,0:00:00
7,1.3659767768321893,1.354736594053415,0.11514062645857245,0.09888902211070653,0.07620161342981469,0.03281416202661047,1e-05,0.1,25,0:00:00,0:00:00
8,1.3635262434299176,1.3529335260391235,0.11384240353810078,0.14014302992671304,0.07025761124121777,0.04206475135883325,1e-05,0.1,25,0:00:00,0:00:00
9,1.3644263866620185,1.3508294820785522,0.07944363914138888,0.07537735450516728,0.04783584040166711,0.02183931631515601,1e-05,0.1,25,0:00:00,0:00:00
10,1.3613559985772157,1.3492804307204027,0.09673259130347446,0.10789816096555414,0.057282640764685144,0.030903131627509794,1e-05,0.1,25,0:00:00,0:00:00
1,1.4046307863333287,1.3958996717746441,0.031382837892530935,0.03160646405466742,0.019928312319124175,0.02607195791042971,1e-06,0.1,25,0:00:00,0:00:00
2,1.4034802180070143,1.3961725785182073,0.021381765673227582,0.017985848153955857,0.013489095521939332,0.014794275183852013,1e-06,0.1,25,0:00:00,0:00:00
3,1.4044848619363246,1.3963059645432692,0.03296574957513844,0.024291188213555998,0.020846969448459762,0.019919153693988112,1e-06,0.1,25,0:00:00,0:00:00
4,1.401689009788709,1.3965333425081694,0.029493518009706437,0.02976932506997127,0.018860641329472072,0.024564503263545312,1e-06,0.1,25,0:00:00,0:00:00
5,1.4037076846147194,1.3957388492730947,0.0302624875348825,0.003142272325925483,0.019816776037944184,0.0026006034079801843,1e-06,0.1,25,0:00:00,0:00:00
6,1.4019652910721607,1.3955084910759559,0.04122121431768144,0.03356136129595846,0.02670872960071058,0.027696245733788483,1e-06,0.1,25,0:00:00,0:00:00
7,1.4038113753000896,1.3958836702200084,0.04861943162801037,0.01867186940664074,0.031403448318298666,0.015314983872209642,1e-06,0.1,25,0:00:00,0:00:00
8,1.4040312736462324,1.3951274981865516,0.024396016336214105,0.007804336495762674,0.01585662887451944,0.006459015000212398,1e-06,0.1,25,0:00:00,0:00:00
9,1.4010740243471587,1.3946040685360248,0.03996635444314267,0.0287056547515834,0.02638801092796028,0.02382121391687131,1e-06,0.1,25,0:00:00,0:00:00
10,1.402050106953352,1.3950491043237538,0.043275584534025045,0.011599686824330421,0.02812774322770495,0.009544586855740445,1e-06,0.1,25,0:00:00,0:00:00
1,1.720919355368003,1.5348137525411754,0.22308569045738308,0.09760156113848915,0.2121855316954585,0.06272828330951241,0.1,0.1,50,0:00:00,0:00:00
2,1.611407200495402,1.5710007960979755,0.13953612753521244,0.12195784651140346,0.13894817205420507,0.09433073439918482,0.1,0.1,50,0:00:00,0:00:00
3,1.6938242423228729,1.4918332558411818,0.13775050725324017,0.17883319587291094,0.11750294364568536,0.08324074563956063,0.1,0.1,50,0:00:00,0:00:00
4,1.63876351637718,1.8556340841146617,0.22291019100943263,0.13055528425173119,0.19082915202512685,0.06726480722969896,0.1,0.1,50,0:00:00,0:00:00
5,1.7902604249807506,1.7540599474540124,0.08020959531733814,0.05602990612397493,0.06498692262766304,0.024277019359719487,0.1,0.1,50,0:00:00,0:00:00
6,1.6802000510386932,1.8352553294255183,-0.0377735210144778,0.0098085990720011,-0.03301812964653705,0.004421581323469481,0.1,0.1,50,0:00:00,0:00:00
7,1.729426995301858,1.6176751576937163,0.0027432024557639176,0.05751964315490162,0.002319737096462382,0.023826967795368303,0.1,0.1,50,0:00:00,0:00:00
8,1.6861318808335524,1.78353017110091,-0.0340441051236944,0.0177623506940021,-0.03232325862186802,0.009757570460306342,0.1,0.1,50,0:00:00,0:00:00
9,1.6283497626964862,1.686755427947411,0.10483479447863497,0.13977904703212368,0.10117813668994369,0.08474913364471903,0.1,0.1,50,0:00:00,0:00:00
10,1.6668068170547485,1.7951798622424786,0.1359189727339005,0.18610311074628538,0.12695545956449272,0.15254444750451357,0.1,0.1,50,0:00:00,0:00:00
1,1.2755952584437835,1.2176053340618427,0.4202341011687359,0.18878721825467892,0.41449611137194065,0.14859454675713268,0.01,0.1,50,0:00:00,0:00:00
2,1.0976794285651965,1.3815120733701265,0.40466686971802485,0.2178965436821041,0.3613684517055439,0.19462100858429365,0.01,0.1,50,0:00:00,0:00:00
3,0.9942730160859915,1.4288192895742564,0.44637120409518816,0.3252038301061998,0.4064025132930691,0.2931018212701708,0.01,0.1,50,0:00:00,0:00:00
4,0.8533361462446359,1.3911078801521888,0.3573396558687363,0.24702699451266077,0.35362217320926537,0.20555296313579086,0.01,0.1,50,0:00:00,0:00:00
5,0.8184169607284741,1.4084463211206288,0.4299278429905821,0.23340255402881316,0.4280921769932461,0.2000091537370131,0.01,0.1,50,0:00:00,0:00:00
6,0.7275997981047019,1.4888192140139067,0.4479458818065113,0.297618823851159,0.44660996330163616,0.2597633367179567,0.01,0.1,50,0:00:00,0:00:00
7,0.6181601767356579,1.5253876997874334,0.38998014053326396,0.2377726801448081,0.3887153691039804,0.19092613562531335,0.01,0.1,50,0:00:00,0:00:00
8,0.6172589552708161,1.631483087172875,0.4323403850493798,0.28331722728355024,0.42698547831532807,0.25138205802737434,0.01,0.1,50,0:00:00,0:00:00
9,0.5807441251400189,1.7475780982237596,0.40958881827578525,0.20193881363784613,0.3777085215851882,0.1893994152740769,0.01,0.1,50,0:00:00,0:00:00
10,0.4964181960393221,1.7930236137830293,0.3988469996440008,0.21197644679372746,0.3717277230390835,0.203228267887539,0.01,0.1,50,0:00:00,0:00:00
1,1.3283786376317341,1.2804117477857149,0.27167245503450765,0.1842846753561517,0.2571935241184574,0.11713364031322349,0.001,0.1,50,0:00:00,0:00:00
2,1.1897065058732643,1.1968817985974824,0.45293006183267326,0.3888165872039653,0.4399845059832176,0.31031447433804216,0.001,0.1,50,0:00:00,0:00:00
3,1.0566845123584454,1.1238569708970876,0.5063493434610403,0.4047950432487002,0.49792964573938214,0.33240461264608,0.001,0.1,50,0:00:00,0:00:00
4,0.9770055413246155,1.1532640823951135,0.469699684886721,0.30387967347987305,0.4523273937582223,0.2670085647188838,0.001,0.1,50,0:00:00,0:00:00
