,epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Weight Decay,Dropout,Epsilon,Training Time,Validation Time
0,1,1.3566295275321374,1.325156569480896,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
1,2,1.3439320295284956,1.3278051614761353,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
2,3,1.3472472307009575,1.3153961896896362,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
3,4,1.3419510401212251,1.3232733011245728,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
4,5,1.337430055324848,1.3040224313735962,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
5,6,1.253418314151275,1.1573599576950073,0.488339853109603,0.28714366508602357,0.48311721339344704,0.23326487107355964,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
6,7,0.9340324226098183,1.0796984434127808,0.6119975183795635,0.4788701859990242,0.6088412371551815,0.4106217252336273,2e-05,0.8,0.1,1e-06,0:00:16,0:00:17
7,1,1.355774170313126,1.3327561616897583,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
8,2,1.3429640990037184,1.3279768228530884,0.12601189571662968,0.08298730139777684,0.10387744027988732,0.03785750522313558,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
9,3,1.2386361819047194,1.214861273765564,0.5321903642561601,0.38295038827081707,0.4974469800234542,0.33870810643290394,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
10,4,0.9801238576571146,1.0696452856063843,0.6304135046235646,0.46135952344400893,0.6191060986198593,0.4341863224233452,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
11,5,0.8495448094147903,1.2770193815231323,0.5594871438136709,0.4405412353835072,0.5048258506890784,0.4077072322205125,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
12,6,0.683862240650715,1.1260690689086914,0.6193018002224437,0.47863704181614686,0.6100186302226507,0.39076757917337623,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
13,7,0.5345279238162897,1.3098278045654297,0.6134695854663851,0.4578233127249718,0.6093134146650772,0.4245419247184161,2e-05,0.8,0.1,1e-07,0:00:16,0:00:17
14,1,1.3629105610725207,1.3389686346054077,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
15,2,1.338319283265334,1.3209140300750732,0.0,0.0,0.0,0.0,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
16,3,1.2528533171384761,1.2708808183670044,0.4582874418016164,0.37022260133617557,0.4042269730804693,0.34298118668596234,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
17,4,1.020016271334428,1.0680737495422363,0.6223088636721325,0.42248954443559283,0.6190150445134526,0.3856095855001065,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
18,5,0.7943823215288993,1.2343668937683105,0.5854973135745151,0.3897446945186768,0.5481866051425449,0.3731909962772121,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
19,6,0.5973733235628177,1.3148558139801025,0.6240608173268414,0.4376511113113045,0.5976793804719558,0.41669670368001865,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
20,7,0.41539443723666364,1.524643898010254,0.6416444122726392,0.47221438611444305,0.6130845463869041,0.4691099780653971,2e-05,0.8,0.1,1e-08,0:00:16,0:00:17
21,1,1.3604603639015784,1.3347831964492798,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
